"","Em_innitials","Endosperm","SC_endothelium","SC_epidermis","SC_hillum_parenchyma","SC_hillum_vasculature","SC_inner_integument","SC_parenchyma","SC_phloem"
"Legume.fam3.00956_Glyma.14G109200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00957_Glyma.04G060600",0,1,0,0,0,0,0,0,0
"Legume.fam3.00957_Glyma.06G061200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00957_Glyma.14G101800",1,1,0,0,0,0,0,0,0
"Legume.fam3.00957_Glyma.17G223400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00963_Glyma.18G073500",0,0,0,0,0,0,0,0,1
"Legume.fam3.00963_Glyma.08G333300",0,0,0,1,0,0,0,0,1
"Legume.fam3.00963_Glyma.02G302800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00963_Glyma.14G011100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00976_Glyma.15G088600",0,0,1,0,0,0,1,0,0
"Legume.fam3.00976_Glyma.13G223300",0,0,1,0,0,0,1,0,0
"Legume.fam3.00976_Glyma.05G163200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00976_Glyma.08G120600",0,0,0,0,0,0,0,0,0
"Legume.fam3.00979_Glyma.09G257900",0,0,0,0,0,0,0,0,0
"Legume.fam3.00979_Glyma.18G234700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00979_Glyma.07G069400",0,0,0,0,1,0,0,0,0
"Legume.fam3.00979_Glyma.16G035100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00983_Glyma.15G024200",0,0,0,0,0,1,0,0,0
"Legume.fam3.00983_Glyma.13G350300",0,0,0,1,0,0,0,0,0
"Legume.fam3.00983_Glyma.07G009900",0,0,1,0,0,1,0,0,0
"Legume.fam3.00983_Glyma.08G193100",0,0,1,1,0,0,0,0,0
"Legume.fam3.00989_Glyma.05G033000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00989_Glyma.17G093900",0,0,1,0,0,0,0,0,0
"Legume.fam3.00989_Glyma.06G187000",0,1,0,0,0,0,0,0,0
"Legume.fam3.00989_Glyma.04G177900",0,0,0,0,0,0,0,0,0
"Legume.fam3.00991_Glyma.04G185800",0,0,0,1,0,0,0,0,0
"Legume.fam3.00991_Glyma.06G180300",0,0,0,0,0,0,0,0,1
"Legume.fam3.00991_Glyma.05G039800",0,0,0,0,0,0,0,0,1
"Legume.fam3.00991_Glyma.17G087100",0,0,0,1,0,0,0,0,1
"Legume.fam3.00995_Glyma.18G008300",0,0,0,0,0,0,1,0,0
"Legume.fam3.00995_Glyma.11G249000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00995_Glyma.05G146300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00995_Glyma.08G103100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00996_Glyma.17G060600",1,0,0,0,0,0,0,0,0
"Legume.fam3.00996_Glyma.13G099500",0,0,0,0,0,0,0,0,0
"Legume.fam3.00996_Glyma.09G058000",0,0,0,0,0,1,0,0,0
"Legume.fam3.00996_Glyma.15G164100",0,0,0,0,0,0,0,0,0
"Legume.fam3.01005_Glyma.12G114000",0,0,0,0,0,0,0,0,0
"Legume.fam3.01005_Glyma.06G292200",0,0,0,0,0,0,0,0,0
"Legume.fam3.01005_Glyma.13G296400",0,0,0,0,0,0,0,0,0
"Legume.fam3.01005_Glyma.12G205000",0,0,1,0,0,0,1,0,0
"Legume.fam3.01007_Glyma.01G157500",0,0,0,1,0,0,0,0,0
"Legume.fam3.01007_Glyma.11G087500",0,0,0,0,0,1,0,0,0
"Legume.fam3.01007_Glyma.09G196800",0,0,0,0,0,0,0,0,1
"Legume.fam3.01007_Glyma.16G111900",0,0,0,0,0,0,0,0,0
"Legume.fam3.01008_Glyma.13G297700",0,0,1,0,0,0,1,0,0
"Legume.fam3.01008_Glyma.12G203900",0,0,0,0,0,0,1,0,0
"Legume.fam3.01008_Glyma.06G293400",0,0,0,0,0,0,1,0,0
"Legume.fam3.01008_Glyma.12G112000",0,0,0,0,0,0,0,0,0
"Legume.fam3.01014_Glyma.05G104400",0,0,0,0,0,0,0,0,0
"Legume.fam3.01014_Glyma.17G163900",0,0,0,0,0,0,0,0,0
"Legume.fam3.01014_Glyma.01G191700",0,1,0,0,0,0,0,0,0
"Legume.fam3.01014_Glyma.11G050400",0,1,0,0,0,0,0,0,0
"Legume.fam3.01020_Glyma.11G037900",0,0,0,0,0,0,0,0,1
"Legume.fam3.01020_Glyma.01G205100",0,0,0,0,0,0,0,0,1
"Legume.fam3.01020_Glyma.17G146600",0,0,0,0,0,0,0,0,0
"Legume.fam3.01020_Glyma.05G064800",0,0,0,0,0,0,0,0,0
"Legume.fam3.01021_Glyma.11G033500",0,0,0,0,0,0,0,0,0
"Legume.fam3.01021_Glyma.01G208700",0,0,0,0,0,0,0,0,0
"Legume.fam3.01021_Glyma.05G060200",0,0,0,1,0,0,0,0,0
"Legume.fam3.01021_Glyma.17G142600",0,0,0,0,0,0,0,0,0
"Legume.fam3.01036_Glyma.12G174100",0,0,0,0,0,0,0,0,0
