RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.01G023000	62	24	13	24	63	37	37	55	126	27	8	112	15	62	36	22	11	59	40	50	51	177	27	10	135	16
Glyma.01G023200	14	15	13	26	98	15	43	106	53	51	12	74	12	21	28	28	38	129	21	44	123	54	63	12	113	9
Glyma.01G023300	22	13	27	28	101	6	28	59	54	21	27	74	9	33	12	47	28	143	12	51	67	95	9	53	99	7
Glyma.01G023500	15	9	2	9	31	3	7	95	21	12	9	39	2	21	0	2	30	37	2	6	97	21	11	26	40	2
Glyma.01G023600	72	40	53	95	322	56	39	251	148	34	31	217	15	78	61	65	92	375	71	74	278	194	46	41	293	12
Glyma.01G023700	13	13	4	4	46	8	9	25	41	27	2	22	13	19	8	14	15	43	8	8	38	44	16	3	29	14
Glyma.01G023900	17	11	11	10	88	15	16	62	30	42	2	45	9	14	20	16	22	95	8	18	72	43	24	10	56	9
Glyma.01G024000	77	79	147	107	463	82	156	313	197	215	71	352	18	73	83	215	107	542	112	145	334	183	278	83	334	52
Glyma.01G024300	0	1	2	4	41	2	3	25	4	11	3	12	2	1	1	2	6	67	5	3	35	16	7	9	39	5
Glyma.01G024500	3	3	4	7	22	6	2	11	12	8	3	11	2	3	4	9	6	38	2	8	26	19	11	4	27	3
Glyma.01G024600	20	2	6	3	16	0	7	12	19	11	2	11	0	22	7	9	7	40	6	3	20	22	19	0	20	1
Glyma.01G024700	10	4	2	5	11	1	5	6	11	4	1	8	1	11	3	3	2	7	0	3	9	12	4	1	13	3
Glyma.01G025100	48	18	40	54	192	28	59	145	81	47	19	158	12	53	31	68	47	190	23	89	149	91	49	16	148	13
Glyma.01G025300	7	0	6	3	29	1	8	16	15	1	0	23	4	8	1	7	0	31	0	6	16	19	3	2	12	0
Glyma.01G025500	0	2	1	6	8	0	5	13	3	2	9	28	0	0	3	5	2	25	0	6	26	14	6	19	33	0
Glyma.01G025600	0	4	3	4	10	0	6	11	6	6	0	6	2	5	2	5	3	20	2	3	11	6	4	2	6	1
Glyma.01G025800	13	12	11	53	138	10	27	68	24	63	5	55	2	13	20	26	46	174	11	32	68	24	62	2	55	3
Glyma.01G026000	16	9	4	31	61	3	9	45	25	17	5	35	1	21	5	11	41	68	6	12	37	28	25	11	32	6
Glyma.01G026100	8	3	13	8	26	6	10	31	26	11	3	21	4	26	8	13	6	30	5	21	15	19	10	6	22	4
Glyma.01G026200	15	15	5	5	23	28	12	39	46	70	3	85	1	27	23	21	4	45	29	13	41	54	115	5	92	3
Glyma.01G026500	9	10	7	6	40	13	2	27	25	48	5	28	4	9	17	2	17	63	20	7	24	25	61	3	40	3
Glyma.01G026700	18	12	11	13	102	19	31	66	39	47	4	48	4	18	8	13	14	85	12	36	60	33	40	11	53	8
Glyma.01G027300	18	9	17	11	73	14	10	57	38	31	7	38	14	27	8	30	22	95	9	6	56	51	28	11	47	23
Glyma.01G027500	13	28	44	73	289	13	24	185	68	58	18	90	33	19	31	75	101	449	9	24	305	108	100	50	165	33
Glyma.01G027700	16	6	3	16	24	3	6	35	15	8	1	22	2	14	7	6	14	49	7	5	28	20	13	3	30	2
Glyma.01G027800	41	1	12	0	8	4	29	78	76	1	11	44	1	45	1	18	1	12	10	32	106	97	3	17	54	1
Glyma.01G028100	9	11	46	4	70	2	4	54	78	78	2	36	10	11	20	44	5	85	11	6	78	90	124	6	74	15
Glyma.01G028500	9	3	5	7	16	5	8	18	21	7	3	24	5	11	3	9	2	39	4	8	22	24	12	9	14	3
Glyma.01G028600	16	2	5	1	20	2	5	29	16	0	2	20	0	15	10	12	8	25	0	11	44	18	3	5	33	4
Glyma.01G028700	20	29	7	31	73	12	34	48	75	9	12	66	7	30	52	23	28	97	17	47	73	98	14	5	83	12
Glyma.01G028800	0	1	12	4	20	1	12	17	13	5	3	17	5	3	3	2	6	12	2	15	7	10	6	3	18	11
Glyma.01G028900	20	9	15	16	50	15	15	52	38	29	8	28	11	29	9	18	9	67	7	10	81	41	36	12	73	21
Glyma.01G029000	12	7	8	11	49	5	16	43	32	14	3	31	2	21	8	8	6	45	9	21	44	30	28	11	33	12
Glyma.01G029100	10	9	11	18	100	14	12	66	45	34	8	45	4	10	19	19	28	119	12	27	86	38	59	13	75	8
Glyma.01G029200	31	31	22	34	127	21	48	89	86	42	10	102	18	76	23	35	35	157	18	43	76	75	53	23	107	19
Glyma.01G029400	7	4	7	1	8	2	4	5	10	10	2	3	2	12	1	5	1	15	3	0	3	8	12	1	12	3
Glyma.01G029500	7	5	3	14	33	5	6	35	37	23	3	19	14	12	24	9	5	32	7	8	35	43	15	4	25	16
Glyma.01G029600	15	13	12	14	62	10	14	81	36	58	3	46	6	16	17	19	12	78	14	33	72	43	67	6	45	1
Glyma.01G029800	24	19	11	19	79	9	32	60	60	39	4	41	15	32	20	16	16	97	9	49	69	58	34	9	53	11
Glyma.01G030000	6	0	0	1	6	1	7	2	4	0	0	10	0	4	0	0	0	10	4	27	5	5	1	1	11	0
Glyma.01G030300	11	18	15	21	59	24	3	72	35	139	1	51	4	16	22	23	17	55	29	16	63	36	83	7	93	5
Glyma.01G030400	7	12	9	11	103	12	12	84	45	23	8	56	11	13	5	23	18	109	8	10	88	53	37	9	65	7
Glyma.01G030500	0	1	6	2	3	1	2	16	24	6	1	6	1	0	0	1	2	6	2	4	28	28	3	0	14	1
Glyma.01G030600	5	4	0	4	28	3	9	22	13	9	3	25	5	11	6	6	8	38	2	17	24	34	10	5	17	1
Glyma.01G030800	37	23	23	22	126	22	28	92	91	42	0	78	14	49	20	43	30	134	23	29	109	82	47	13	89	19
Glyma.01G030900	9	2	2	3	26	2	12	56	20	8	3	42	5	16	1	3	10	28	5	15	73	28	6	6	35	4
Glyma.01G031400	92	47	104	78	314	66	93	259	273	108	26	265	44	85	67	145	82	343	60	115	255	307	90	29	281	52
Glyma.01G031500	10	5	19	7	45	6	6	46	21	23	7	49	18	5	10	23	4	69	11	10	73	24	11	8	59	8
Glyma.01G031700	27	23	2	6	31	24	11	33	41	13	8	122	6	52	30	2	10	43	21	27	43	35	11	2	186	5
Glyma.01G031800	7	107	12	13	118	109	5	49	32	47	1	42	8	24	144	18	14	110	86	2	39	28	84	1	32	7
Glyma.01G031900	66	33	40	159	420	29	80	349	302	33	22	498	36	62	47	50	172	512	56	86	333	295	75	36	562	26
Glyma.01G032000	15	3	6	0	22	3	2	23	31	2	4	16	2	18	2	9	3	18	2	4	15	29	6	5	30	1
Glyma.01G032100	43	25	27	41	153	19	35	131	85	42	15	91	14	26	27	39	43	210	20	32	124	127	46	20	120	29
Glyma.01G032500	18	10	11	18	82	12	28	61	57	26	10	52	5	45	16	30	27	75	18	27	79	68	41	6	86	10
Glyma.01G032600	7	4	5	17	19	6	24	287	67	5	9	78	9	15	7	12	21	50	4	17	277	81	17	4	154	11
Glyma.01G032900	5	7	4	6	25	8	16	39	23	12	3	24	13	7	8	13	11	39	3	17	37	28	15	9	43	8
Glyma.01G033000	10	8	3	5	31	7	10	25	27	21	5	24	9	8	6	5	5	22	6	7	37	33	16	5	21	1
Glyma.01G033200	0	1	6	5	19	0	3	25	8	16	2	15	0	2	1	8	5	26	2	4	23	12	2	2	14	2
